"corrected","Monkey","Monkey_number","Freezer Name","Location of Sample","Details:","Sample Quantity:","Quantity units:",,,,,,,,
"Kidney (lt, rt)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Kidney (lt, rt)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Kidney (lt, rt)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Kidney (lt, rt)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Kidney (lt, rt)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Kidney (lt, rt)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Kidney (lt, rt)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Kidney (lt, rt)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Liver","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Liver","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Liver","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Liver","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Liver","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
